PID,RegistrationID,TestName,InstrumentID,AssessmentName,InstrumentTitle,Key,Value
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,ObjectCounting,218B3F21-960E-4284-8E1F-F4935828499B,Assessment 1,Object Counting,Language,en-US
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,ObjectCounting,218B3F21-960E-4284-8E1F-F4935828499B,Assessment 1,Object Counting,InstrumentBreakoff,1
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,ObjectCounting,218B3F21-960E-4284-8E1F-F4935828499B,Assessment 1,Object Counting,InstrumentStatus2,4
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,ObjectCounting,218B3F21-960E-4284-8E1F-F4935828499B,Assessment 1,Object Counting,InstrumentSandSReason,3
cdir12,13133306-6634-48E7-82B9-3F407236F63D,ObjectCounting,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,RawScore,0
cdir12,13133306-6634-48E7-82B9-3F407236F63D,ObjectCounting,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,ItemCount,4
cdir12,13133306-6634-48E7-82B9-3F407236F63D,ObjectCounting,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,Language,en-US
cdir12,13133306-6634-48E7-82B9-3F407236F63D,ObjectCounting,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,InstrumentBreakoff,2
cdir12,13133306-6634-48E7-82B9-3F407236F63D,ObjectCounting,A61CAEA2-700B-4A3E-8BDC-10495F82790B,Assessment 1,Object Counting,InstrumentStatus2,3
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,ObjectCounting,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,RawScore,4
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,ObjectCounting,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,ItemCount,9
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,ObjectCounting,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,Language,en-US
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,ObjectCounting,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,InstrumentBreakoff,2
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,ObjectCounting,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,InstrumentStatus2,3
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,ObjectCounting,C7F02EBF-CD2B-4DB4-8E30-2A7748247543,Assessment 1,Object Counting,InstrumentRCReasonOther,Delayed | Delayed | Delayed | Delayed | Delayed | Delayed
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,ObjectCounting,FA4A223C-2CE3-4D9C-82FF-83AC379137B0,Assessment 2,Object Counting,RawScore,5
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,ObjectCounting,FA4A223C-2CE3-4D9C-82FF-83AC379137B0,Assessment 2,Object Counting,ItemCount,9
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,ObjectCounting,FA4A223C-2CE3-4D9C-82FF-83AC379137B0,Assessment 2,Object Counting,Language,en-US
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,ObjectCounting,FA4A223C-2CE3-4D9C-82FF-83AC379137B0,Assessment 2,Object Counting,InstrumentBreakoff,2
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,ObjectCounting,FA4A223C-2CE3-4D9C-82FF-83AC379137B0,Assessment 2,Object Counting,InstrumentStatus2,3
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,ObjectCounting,87FF4FB0-3FAD-4A1F-99D3-08D2F95400A0,Assessment 2,Object Counting,RawScore,2
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,ObjectCounting,87FF4FB0-3FAD-4A1F-99D3-08D2F95400A0,Assessment 2,Object Counting,ItemCount,8
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,ObjectCounting,87FF4FB0-3FAD-4A1F-99D3-08D2F95400A0,Assessment 2,Object Counting,Language,en-US
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,ObjectCounting,87FF4FB0-3FAD-4A1F-99D3-08D2F95400A0,Assessment 2,Object Counting,InstrumentBreakoff,2
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,ObjectCounting,87FF4FB0-3FAD-4A1F-99D3-08D2F95400A0,Assessment 2,Object Counting,InstrumentStatus2,3
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,ObjectCounting,CC2560D9-EB6F-46FD-9530-D7BFA9E0AE16,Assessment 2,Object Counting,RawScore,1
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,ObjectCounting,CC2560D9-EB6F-46FD-9530-D7BFA9E0AE16,Assessment 2,Object Counting,ItemCount,5
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,ObjectCounting,CC2560D9-EB6F-46FD-9530-D7BFA9E0AE16,Assessment 2,Object Counting,Language,en-US
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,ObjectCounting,CC2560D9-EB6F-46FD-9530-D7BFA9E0AE16,Assessment 2,Object Counting,InstrumentBreakoff,1
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,ObjectCounting,CC2560D9-EB6F-46FD-9530-D7BFA9E0AE16,Assessment 2,Object Counting,InstrumentStatus2,3
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,ObjectCounting,CC2560D9-EB6F-46FD-9530-D7BFA9E0AE16,Assessment 2,Object Counting,InstrumentSandSReason,3
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,ObjectCounting,F010068F-98A5-4CF2-93D4-56DC21B40001,Assessment 2,Object Counting,ItemCount,2
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,ObjectCounting,F010068F-98A5-4CF2-93D4-56DC21B40001,Assessment 2,Object Counting,Language,en-US
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,ObjectCounting,F010068F-98A5-4CF2-93D4-56DC21B40001,Assessment 2,Object Counting,InstrumentBreakoff,1
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,ObjectCounting,F010068F-98A5-4CF2-93D4-56DC21B40001,Assessment 2,Object Counting,InstrumentStatus2,4
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,ObjectCounting,F010068F-98A5-4CF2-93D4-56DC21B40001,Assessment 2,Object Counting,InstrumentSandSReason,4
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,ObjectCounting,E8A04517-65EF-40BE-A77B-263D53BFADB5,Assessment 2,Object Counting,RawScore,1
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,ObjectCounting,E8A04517-65EF-40BE-A77B-263D53BFADB5,Assessment 2,Object Counting,ItemCount,6
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,ObjectCounting,E8A04517-65EF-40BE-A77B-263D53BFADB5,Assessment 2,Object Counting,Language,en-US
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,ObjectCounting,E8A04517-65EF-40BE-A77B-263D53BFADB5,Assessment 2,Object Counting,InstrumentBreakoff,2
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,ObjectCounting,E8A04517-65EF-40BE-A77B-263D53BFADB5,Assessment 2,Object Counting,InstrumentStatus2,3
