PID,RegistrationID,AssessmentName,Key,Value
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,DeviceID,NIH-BABY-TOOLBOX-NORMING-13D3BF54-94A6-410F-9B4C-7F502BCBF935
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,DateOfBirth,2022-02-08T00:00:00-0600
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,Age,1
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,TotalAgeInMonths,12
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,Education,1
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,MothersEducation,21
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,SexAssignedAtBirth,1
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,Handedness,1
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,Race,1
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,Ethnicity,1
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,AppVersion,3.0.4.19
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,FirmwareVersion,16.3
NBT_PROMIS_12m,7BDD7CDB-6EC6-47D8-8563-938B0DEC7650,CBQ-VSF,iPadVersion,"iPad Pro 4th Gen (11-inch) / iPad14,3"
