PID,RegistrationID,TestName,InstrumentID,AssessmentName,InstrumentTitle,Key,Value
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,NumRecogSubitizing,4B4EC549-A6A1-4A3B-A763-6C3696A2FCE2,Assessment 1,Subitizing,RawScore,1
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,NumRecogSubitizing,4B4EC549-A6A1-4A3B-A763-6C3696A2FCE2,Assessment 1,Subitizing,ItemCount,7
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,NumRecogSubitizing,4B4EC549-A6A1-4A3B-A763-6C3696A2FCE2,Assessment 1,Subitizing,Language,en-US
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,NumRecogSubitizing,4B4EC549-A6A1-4A3B-A763-6C3696A2FCE2,Assessment 1,Subitizing,InstrumentBreakoff,2
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,NumRecogSubitizing,4B4EC549-A6A1-4A3B-A763-6C3696A2FCE2,Assessment 1,Subitizing,InstrumentStatus2,3
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,NumRecogSubitizing,4B4EC549-A6A1-4A3B-A763-6C3696A2FCE2,Assessment 1,Subitizing,InstrumentRCReasonOther,Delayed
cdir12,13133306-6634-48E7-82B9-3F407236F63D,NumRecogSubitizing,6AEF1A4F-289D-4A27-BDF3-6299E43395BA,Assessment 1,Subitizing,RawScore,2
cdir12,13133306-6634-48E7-82B9-3F407236F63D,NumRecogSubitizing,6AEF1A4F-289D-4A27-BDF3-6299E43395BA,Assessment 1,Subitizing,ItemCount,7
cdir12,13133306-6634-48E7-82B9-3F407236F63D,NumRecogSubitizing,6AEF1A4F-289D-4A27-BDF3-6299E43395BA,Assessment 1,Subitizing,Language,en-US
cdir12,13133306-6634-48E7-82B9-3F407236F63D,NumRecogSubitizing,6AEF1A4F-289D-4A27-BDF3-6299E43395BA,Assessment 1,Subitizing,InstrumentBreakoff,2
cdir12,13133306-6634-48E7-82B9-3F407236F63D,NumRecogSubitizing,6AEF1A4F-289D-4A27-BDF3-6299E43395BA,Assessment 1,Subitizing,InstrumentStatus2,3
cdir12,13133306-6634-48E7-82B9-3F407236F63D,NumRecogSubitizing,6AEF1A4F-289D-4A27-BDF3-6299E43395BA,Assessment 1,Subitizing,InstrumentRCReasonOther,Delayed
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,NumRecogSubitizing,60947C55-13E2-41FF-BA90-7ABED611F607,Assessment 1,Subitizing,RawScore,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,NumRecogSubitizing,60947C55-13E2-41FF-BA90-7ABED611F607,Assessment 1,Subitizing,ItemCount,7
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,NumRecogSubitizing,60947C55-13E2-41FF-BA90-7ABED611F607,Assessment 1,Subitizing,Language,en-US
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,NumRecogSubitizing,60947C55-13E2-41FF-BA90-7ABED611F607,Assessment 1,Subitizing,InstrumentBreakoff,2
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,NumRecogSubitizing,60947C55-13E2-41FF-BA90-7ABED611F607,Assessment 1,Subitizing,InstrumentStatus2,3
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,NumRecogSubitizing,60947C55-13E2-41FF-BA90-7ABED611F607,Assessment 1,Subitizing,InstrumentRCReasonOther,App interruption | Delayed | Delayed | Delayed | Administrator Note: Blabkabla
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,NumRecogSubitizing,5D362FA8-9A05-4ECB-BF01-F7C063CC800E,Assessment 2,Subitizing,RawScore,2
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,NumRecogSubitizing,5D362FA8-9A05-4ECB-BF01-F7C063CC800E,Assessment 2,Subitizing,ItemCount,7
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,NumRecogSubitizing,5D362FA8-9A05-4ECB-BF01-F7C063CC800E,Assessment 2,Subitizing,Language,en-US
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,NumRecogSubitizing,5D362FA8-9A05-4ECB-BF01-F7C063CC800E,Assessment 2,Subitizing,InstrumentBreakoff,2
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,NumRecogSubitizing,5D362FA8-9A05-4ECB-BF01-F7C063CC800E,Assessment 2,Subitizing,InstrumentStatus2,3
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,NumRecogSubitizing,03E7F590-774E-4833-914F-029B8DAFEF9F,Assessment 2,Subitizing,RawScore,2
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,NumRecogSubitizing,03E7F590-774E-4833-914F-029B8DAFEF9F,Assessment 2,Subitizing,ItemCount,7
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,NumRecogSubitizing,03E7F590-774E-4833-914F-029B8DAFEF9F,Assessment 2,Subitizing,Language,en-US
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,NumRecogSubitizing,03E7F590-774E-4833-914F-029B8DAFEF9F,Assessment 2,Subitizing,InstrumentBreakoff,2
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,NumRecogSubitizing,03E7F590-774E-4833-914F-029B8DAFEF9F,Assessment 2,Subitizing,InstrumentStatus2,3
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,NumRecogSubitizing,03E7F590-774E-4833-914F-029B8DAFEF9F,Assessment 2,Subitizing,InstrumentRCReasonOther,Delayed
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,NumRecogSubitizing,39A8FE15-1420-4952-AD3A-85BC40C9174F,Assessment 2,Subitizing,RawScore,2
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,NumRecogSubitizing,39A8FE15-1420-4952-AD3A-85BC40C9174F,Assessment 2,Subitizing,ItemCount,7
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,NumRecogSubitizing,39A8FE15-1420-4952-AD3A-85BC40C9174F,Assessment 2,Subitizing,Language,en-US
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,NumRecogSubitizing,39A8FE15-1420-4952-AD3A-85BC40C9174F,Assessment 2,Subitizing,InstrumentBreakoff,2
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,NumRecogSubitizing,39A8FE15-1420-4952-AD3A-85BC40C9174F,Assessment 2,Subitizing,InstrumentStatus2,3
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,NumRecogSubitizing,39A8FE15-1420-4952-AD3A-85BC40C9174F,Assessment 2,Subitizing,InstrumentRCReasonOther,Delayed
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,NumRecogSubitizing,58815366-2292-4A3E-9791-DB149B7569C0,Assessment 2,Subitizing,ItemCount,2
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,NumRecogSubitizing,58815366-2292-4A3E-9791-DB149B7569C0,Assessment 2,Subitizing,Language,en-US
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,NumRecogSubitizing,58815366-2292-4A3E-9791-DB149B7569C0,Assessment 2,Subitizing,InstrumentBreakoff,1
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,NumRecogSubitizing,58815366-2292-4A3E-9791-DB149B7569C0,Assessment 2,Subitizing,InstrumentStatus2,4
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,NumRecogSubitizing,58815366-2292-4A3E-9791-DB149B7569C0,Assessment 2,Subitizing,InstrumentSandSReason,3
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,NumRecogSubitizing,AC12D2E7-9CB1-4D44-A527-1253A7573AD4,Assessment 2,Subitizing,RawScore,0
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,NumRecogSubitizing,AC12D2E7-9CB1-4D44-A527-1253A7573AD4,Assessment 2,Subitizing,ItemCount,7
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,NumRecogSubitizing,AC12D2E7-9CB1-4D44-A527-1253A7573AD4,Assessment 2,Subitizing,Language,en-US
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,NumRecogSubitizing,AC12D2E7-9CB1-4D44-A527-1253A7573AD4,Assessment 2,Subitizing,InstrumentBreakoff,2
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,NumRecogSubitizing,AC12D2E7-9CB1-4D44-A527-1253A7573AD4,Assessment 2,Subitizing,InstrumentStatus2,3
