PID,RegistrationID,TestName,InstrumentID,AssessmentName,InstrumentTitle,Key,Value
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,TouchTutorial,03F0F180-7535-457F-A7D7-1F61D0CD39ED,Assessment 1,NBT Touch Screen Tutorial,Language,en-US
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,TouchTutorial,03F0F180-7535-457F-A7D7-1F61D0CD39ED,Assessment 1,NBT Touch Screen Tutorial,InstrumentBreakoff,1
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,TouchTutorial,03F0F180-7535-457F-A7D7-1F61D0CD39ED,Assessment 1,NBT Touch Screen Tutorial,InstrumentStatus2,4
cdi17,04941E1D-DEBD-4B58-AB1B-33DA3B0C9D5F,TouchTutorial,03F0F180-7535-457F-A7D7-1F61D0CD39ED,Assessment 1,NBT Touch Screen Tutorial,InstrumentSandSReason,3
cdir12,13133306-6634-48E7-82B9-3F407236F63D,TouchTutorial,DC74AA11-3964-4E11-9BEB-7AC3521F8C0E,Assessment 1,NBT Touch Screen Tutorial,RawScore,2
cdir12,13133306-6634-48E7-82B9-3F407236F63D,TouchTutorial,DC74AA11-3964-4E11-9BEB-7AC3521F8C0E,Assessment 1,NBT Touch Screen Tutorial,ItemCount,8
cdir12,13133306-6634-48E7-82B9-3F407236F63D,TouchTutorial,DC74AA11-3964-4E11-9BEB-7AC3521F8C0E,Assessment 1,NBT Touch Screen Tutorial,Language,en-US
cdir12,13133306-6634-48E7-82B9-3F407236F63D,TouchTutorial,DC74AA11-3964-4E11-9BEB-7AC3521F8C0E,Assessment 1,NBT Touch Screen Tutorial,InstrumentBreakoff,2
cdir12,13133306-6634-48E7-82B9-3F407236F63D,TouchTutorial,DC74AA11-3964-4E11-9BEB-7AC3521F8C0E,Assessment 1,NBT Touch Screen Tutorial,InstrumentStatus2,3
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,TouchTutorial,E9962C6B-C241-4DB6-89F2-ECBBA1CACE58,Assessment 1,NBT Touch Screen Tutorial,RawScore,0
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,TouchTutorial,E9962C6B-C241-4DB6-89F2-ECBBA1CACE58,Assessment 1,NBT Touch Screen Tutorial,ItemCount,6
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,TouchTutorial,E9962C6B-C241-4DB6-89F2-ECBBA1CACE58,Assessment 1,NBT Touch Screen Tutorial,Language,en-US
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,TouchTutorial,E9962C6B-C241-4DB6-89F2-ECBBA1CACE58,Assessment 1,NBT Touch Screen Tutorial,InstrumentBreakoff,1
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,TouchTutorial,E9962C6B-C241-4DB6-89F2-ECBBA1CACE58,Assessment 1,NBT Touch Screen Tutorial,InstrumentStatus2,3
cdir14,993E6B0C-A0A6-41B4-8E74-ACE52209596D,TouchTutorial,E9962C6B-C241-4DB6-89F2-ECBBA1CACE58,Assessment 1,NBT Touch Screen Tutorial,InstrumentSandSReason,5
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,TouchTutorial,18361B02-75B1-4050-9FBE-6A2055F59A0F,Assessment 2,NBT Touch Screen Tutorial,RawScore,2
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,TouchTutorial,18361B02-75B1-4050-9FBE-6A2055F59A0F,Assessment 2,NBT Touch Screen Tutorial,ItemCount,7
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,TouchTutorial,18361B02-75B1-4050-9FBE-6A2055F59A0F,Assessment 2,NBT Touch Screen Tutorial,Language,en-US
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,TouchTutorial,18361B02-75B1-4050-9FBE-6A2055F59A0F,Assessment 2,NBT Touch Screen Tutorial,InstrumentBreakoff,1
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,TouchTutorial,18361B02-75B1-4050-9FBE-6A2055F59A0F,Assessment 2,NBT Touch Screen Tutorial,InstrumentStatus2,3
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,TouchTutorial,18361B02-75B1-4050-9FBE-6A2055F59A0F,Assessment 2,NBT Touch Screen Tutorial,InstrumentSandSReason,-5
cdir9,B2A8B3C7-AC81-4CD9-B1F4-25E4F15A3781,TouchTutorial,18361B02-75B1-4050-9FBE-6A2055F59A0F,Assessment 2,NBT Touch Screen Tutorial,InstrumentRCReasonOther,Delayed | App interruption
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,TouchTutorial,946BC0E7-E7A7-4BF8-B77F-DB982E9D9766,Assessment 2,NBT Touch Screen Tutorial,RawScore,2
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,TouchTutorial,946BC0E7-E7A7-4BF8-B77F-DB982E9D9766,Assessment 2,NBT Touch Screen Tutorial,ItemCount,7
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,TouchTutorial,946BC0E7-E7A7-4BF8-B77F-DB982E9D9766,Assessment 2,NBT Touch Screen Tutorial,Language,en-US
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,TouchTutorial,946BC0E7-E7A7-4BF8-B77F-DB982E9D9766,Assessment 2,NBT Touch Screen Tutorial,InstrumentBreakoff,1
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,TouchTutorial,946BC0E7-E7A7-4BF8-B77F-DB982E9D9766,Assessment 2,NBT Touch Screen Tutorial,InstrumentStatus2,3
cdr10,695A2B1C-B108-40D9-AF0A-5EE4D5220AEB,TouchTutorial,946BC0E7-E7A7-4BF8-B77F-DB982E9D9766,Assessment 2,NBT Touch Screen Tutorial,InstrumentSandSReason,3
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,TouchTutorial,81D624AC-42CE-49BF-AACB-729F5F4B54AA,Assessment 2,NBT Touch Screen Tutorial,RawScore,0
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,TouchTutorial,81D624AC-42CE-49BF-AACB-729F5F4B54AA,Assessment 2,NBT Touch Screen Tutorial,ItemCount,6
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,TouchTutorial,81D624AC-42CE-49BF-AACB-729F5F4B54AA,Assessment 2,NBT Touch Screen Tutorial,Language,en-US
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,TouchTutorial,81D624AC-42CE-49BF-AACB-729F5F4B54AA,Assessment 2,NBT Touch Screen Tutorial,InstrumentBreakoff,2
cdr15,C2FFC350-4B1C-4534-920C-8FC8A7E0F9BE,TouchTutorial,81D624AC-42CE-49BF-AACB-729F5F4B54AA,Assessment 2,NBT Touch Screen Tutorial,InstrumentStatus2,3
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,TouchTutorial,3D286DBA-1F11-43A1-8DC3-DBDBFA63569D,Assessment 2,NBT Touch Screen Tutorial,Language,en-US
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,TouchTutorial,3D286DBA-1F11-43A1-8DC3-DBDBFA63569D,Assessment 2,NBT Touch Screen Tutorial,InstrumentBreakoff,1
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,TouchTutorial,3D286DBA-1F11-43A1-8DC3-DBDBFA63569D,Assessment 2,NBT Touch Screen Tutorial,InstrumentStatus2,4
cdr16,DB52DB08-B627-4F2D-AC5C-F72890E25722,TouchTutorial,3D286DBA-1F11-43A1-8DC3-DBDBFA63569D,Assessment 2,NBT Touch Screen Tutorial,InstrumentSandSReason,3
cdr1a,30B9F10B-E391-413C-B95D-7BC14145102A,TouchTutorial,C5B3E29E-83D3-4F05-B2FF-8EFCDC09A486,Assessment 2,NBT Touch Screen Tutorial,RawScore,2
