PID,RegistrationID,AssessmentName,Key,Value
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,DeviceID,NIH-BABY-TOOLBOX-NORMING-F6E187B7-7DFC-4A03-8ECD-8FCE52FBE768
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,Name,Opal
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,DateOfBirth,2021-02-15T00:00:00-0600
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,Age,1
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,TotalAgeInMonths,24
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,ExpectedDueDate,2022-05-24T00:00:00-0500
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,Race,0
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,AppVersion,3.0.4.20
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,FirmwareVersion,16.2
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDR RT 2923 5,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,DeviceID,NIH-BABY-TOOLBOX-NORMING-F6E187B7-7DFC-4A03-8ECD-8FCE52FBE768
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,Name,Opal
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,DateOfBirth,2021-02-15T00:00:00-0600
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,Age,1
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,TotalAgeInMonths,24
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,ExpectedDueDate,2022-05-24T00:00:00-0500
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,Race,0
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,AppVersion,3.0.4.20
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,FirmwareVersion,16.2
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDR RT 2923 4,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,DeviceID,NIH-BABY-TOOLBOX-NORMING-F6E187B7-7DFC-4A03-8ECD-8FCE52FBE768
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,Name,Opal
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,DateOfBirth,2021-02-15T00:00:00-0600
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,Age,1
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,TotalAgeInMonths,24
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,ExpectedDueDate,2022-05-24T00:00:00-0500
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,Race,0
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,AppVersion,3.0.4.20
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,FirmwareVersion,16.2
567,20644187-C527-496B-8091-BA00FA098619,VDR RT 2923 3,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,DeviceID,NIH-BABY-TOOLBOX-NORMING-F6E187B7-7DFC-4A03-8ECD-8FCE52FBE768
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,Name,Opal
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,DateOfBirth,2021-02-15T00:00:00-0600
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,Age,1
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,TotalAgeInMonths,24
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,ExpectedDueDate,2022-05-24T00:00:00-0500
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,Race,0
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,AppVersion,3.0.4.20
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,FirmwareVersion,16.2
567,0FEE7A01-5753-44F8-B6ED-50BB213A0DBC,VDR RT 2923 2,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,DeviceID,NIH-BABY-TOOLBOX-NORMING-F6E187B7-7DFC-4A03-8ECD-8FCE52FBE768
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,Name,Opal
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,DateOfBirth,2021-02-15T00:00:00-0600
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,Age,1
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,TotalAgeInMonths,24
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,ExpectedDueDate,2022-05-24T00:00:00-0500
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,Race,0
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,AppVersion,3.0.4.20
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,FirmwareVersion,16.2
567,941AE0A6-7852-4E58-8D50-F5D7E1EAD99A,VDR RT 2923 1,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
