PID,RegistrationID,TestName,InstrumentID,AssessmentName,InstrumentTitle,Key,Value
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDRTouch,DFC4CE63-C4F6-4BB1-B092-AD0ABE7D88DE,VDR RT 2923 5,Visual Delayed Response,VDRTouchAccuracy,0
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDRTouch,DFC4CE63-C4F6-4BB1-B092-AD0ABE7D88DE,VDR RT 2923 5,Visual Delayed Response,VDRTouchReactionCorrect,0
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDRTouch,DFC4CE63-C4F6-4BB1-B092-AD0ABE7D88DE,VDR RT 2923 5,Visual Delayed Response,VDRTouchReactionIncorrect,0
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDRTouch,DFC4CE63-C4F6-4BB1-B092-AD0ABE7D88DE,VDR RT 2923 5,Visual Delayed Response,ItemCount,13
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDRTouch,DFC4CE63-C4F6-4BB1-B092-AD0ABE7D88DE,VDR RT 2923 5,Visual Delayed Response,Language,en-US
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDRTouch,DFC4CE63-C4F6-4BB1-B092-AD0ABE7D88DE,VDR RT 2923 5,Visual Delayed Response,InstrumentBreakoff,2
567,AD357C3F-060C-4969-BA70-E4755E3B6B0C,VDRTouch,DFC4CE63-C4F6-4BB1-B092-AD0ABE7D88DE,VDR RT 2923 5,Visual Delayed Response,InstrumentStatus2,3
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDRTouch,AD7257EC-A1AB-42E0-A88D-92FCBB373758,VDR RT 2923 4,Visual Delayed Response,VDRTouchAccuracy,4
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDRTouch,AD7257EC-A1AB-42E0-A88D-92FCBB373758,VDR RT 2923 4,Visual Delayed Response,VDRTouchReactionCorrect,286
567,49A93A84-9E00-48A8-B8DA-F2124F0E365B,VDRTouch,AD7257EC-A1AB-42E0-A88D-92FCBB373758,VDR RT 2923 4,Visual Delayed Response,VDRTouchReactionIncorrect,1907
