PID,RegistrationID,AssessmentName,Key,Value
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,Assessment 2,DeviceID,NIH-BABY-TOOLBOX-NORMING-3F1197C9-B7D7-4888-9AEB-FA00EBD2AAAB
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,Assessment 2,DateOfBirth,2022-02-09T00:00:00-0600
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,Assessment 2,Age,1
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,Assessment 2,TotalAgeInMonths,12
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,Assessment 2,Race,0
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,Assessment 2,AppVersion,3.0.4.19
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,Assessment 2,FirmwareVersion,16.3
TST_WHM,A443E914-F81D-48FD-BC9D-E530BEDA2045,Assessment 2,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,Assessment 1,DeviceID,NIH-BABY-TOOLBOX-NORMING-3F1197C9-B7D7-4888-9AEB-FA00EBD2AAAB
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,Assessment 1,DateOfBirth,2022-02-09T00:00:00-0600
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,Assessment 1,Age,1
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,Assessment 1,TotalAgeInMonths,12
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,Assessment 1,Race,0
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,Assessment 1,AppVersion,3.0.4.19
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,Assessment 1,FirmwareVersion,16.3
TST_WHM,880A94EE-2EEB-40A3-8BBD-699EAE1F560B,Assessment 1,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
TST_WHM2,72EAD94B-008A-4BC7-810B-4D65A79E0529,Assessment 4,DeviceID,NIH-BABY-TOOLBOX-NORMING-3F1197C9-B7D7-4888-9AEB-FA00EBD2AAAB
TST_WHM2,72EAD94B-008A-4BC7-810B-4D65A79E0529,Assessment 4,DateOfBirth,2020-03-09T00:00:00-0500
TST_WHM2,72EAD94B-008A-4BC7-810B-4D65A79E0529,Assessment 4,Age,2
TST_WHM2,72EAD94B-008A-4BC7-810B-4D65A79E0529,Assessment 4,TotalAgeInMonths,35
TST_WHM2,72EAD94B-008A-4BC7-810B-4D65A79E0529,Assessment 4,Race,0
TST_WHM2,72EAD94B-008A-4BC7-810B-4D65A79E0529,Assessment 4,AppVersion,3.0.4.19
TST_WHM2,72EAD94B-008A-4BC7-810B-4D65A79E0529,Assessment 4,FirmwareVersion,16.3
TST_WHM2,72EAD94B-008A-4BC7-810B-4D65A79E0529,Assessment 4,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
TST_WHM2,419D5639-3A67-4D9F-A6A6-37C81FE3A09A,Assessment 3,DeviceID,NIH-BABY-TOOLBOX-NORMING-3F1197C9-B7D7-4888-9AEB-FA00EBD2AAAB
TST_WHM2,419D5639-3A67-4D9F-A6A6-37C81FE3A09A,Assessment 3,DateOfBirth,2020-03-09T00:00:00-0500
TST_WHM2,419D5639-3A67-4D9F-A6A6-37C81FE3A09A,Assessment 3,Age,2
TST_WHM2,419D5639-3A67-4D9F-A6A6-37C81FE3A09A,Assessment 3,TotalAgeInMonths,35
TST_WHM2,419D5639-3A67-4D9F-A6A6-37C81FE3A09A,Assessment 3,Race,0
TST_WHM2,419D5639-3A67-4D9F-A6A6-37C81FE3A09A,Assessment 3,AppVersion,3.0.4.19
TST_WHM2,419D5639-3A67-4D9F-A6A6-37C81FE3A09A,Assessment 3,FirmwareVersion,16.3
TST_WHM2,419D5639-3A67-4D9F-A6A6-37C81FE3A09A,Assessment 3,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
TST_WHM2,23ECA699-2288-4DB5-A9B4-09EA6000A0E9,Assessment 1,DeviceID,NIH-BABY-TOOLBOX-NORMING-3F1197C9-B7D7-4888-9AEB-FA00EBD2AAAB
TST_WHM2,23ECA699-2288-4DB5-A9B4-09EA6000A0E9,Assessment 1,DateOfBirth,2020-03-09T00:00:00-0500
TST_WHM2,23ECA699-2288-4DB5-A9B4-09EA6000A0E9,Assessment 1,Age,2
TST_WHM2,23ECA699-2288-4DB5-A9B4-09EA6000A0E9,Assessment 1,TotalAgeInMonths,35
TST_WHM2,23ECA699-2288-4DB5-A9B4-09EA6000A0E9,Assessment 1,Race,0
TST_WHM2,23ECA699-2288-4DB5-A9B4-09EA6000A0E9,Assessment 1,AppVersion,3.0.4.19
TST_WHM2,23ECA699-2288-4DB5-A9B4-09EA6000A0E9,Assessment 1,FirmwareVersion,16.3
TST_WHM2,23ECA699-2288-4DB5-A9B4-09EA6000A0E9,Assessment 1,iPadVersion,"iPad Pro 2nd Gen (11-inch) / iPad8,9"
